!!<TOTAL_WINDOWS>!!|56288757
aachen|17313
aachen|berlin|352
aachen|demo|854
aachen|deutschland|157
aachen|frankfurt|69
aachen|geht|379
aachen|gibt|390
aachen|gut|83
aachen|heute|1109
aachen|immer|311
aachen|kommt|199
aachen|mal|155
aachen|mehr|420
aachen|menschen|562
aachen|morgen|516
aachen|schon|245
aachen|seit|298
aachen|tag|232
aachen|uhr|562
afd|1906462
afd|arte|1071
afd|berlin|22891
afd|bild|14196
afd|cdu|149116
afd|csu|42218
afd|deutschen|15664
afd|deutschland|58468
afd|einfach|23960
afd|fdp|45555
afd|geht|43479
afd|ger|5604
afd|gibt|51537
afd|gut|27548
afd|heute|41203
afd|immer|54625
afd|jung|4176
afd|macht|38392
afd|mal|72359
afd|mehr|78483
afd|menschen|34503
afd|merkel|33395
afd|müssen|18097
afd|schon|67503
afd|spd|73034
afd|warum|32424
afd|welt|21543
afd|wer|52402
afd|zeit|25956
arte|32825
arte|berlin|624
arte|bild|228
arte|deutschland|784
arte|einfach|405
arte|geht|629
arte|ger|305
arte|gibt|858
arte|gut|805
arte|immer|782
arte|jung|93
arte|macht|583
arte|mal|1563
arte|mehr|667
arte|schon|1161
arte|warum|290
arte|welt|546
arte|wer|753
arte|zeit|542
berlin|662369
berlin|bild|4858
berlin|blockupy|758
berlin|demo|17964
berlin|deutschland|13415
berlin|einfach|4882
berlin|frankfurt|3782
berlin|geht|14461
berlin|ger|5097
berlin|gibt|16771
berlin|gut|7146
berlin|heute|27597
berlin|immer|12239
berlin|jung|1571
berlin|kommt|11446
berlin|macht|7341
berlin|mal|20965
berlin|mehr|22420
berlin|menschen|15178
berlin|morgen|10486
berlin|schon|19513
berlin|seit|7459
berlin|tag|7029
berlin|uhr|17131
berlin|warum|7549
berlin|welt|10363
berlin|wer|10150
berlin|zeit|12667
bild|278967
bild|deutschland|6333
bild|einfach|4356
bild|geht|4976
bild|ger|1161
bild|gibt|6611
bild|gut|4227
bild|immer|7480
bild|jung|490
bild|macht|5000
bild|mal|12996
bild|mehr|10395
bild|schon|10623
bild|warum|4815
bild|welt|9582
bild|wer|7737
bild|zeit|5117
blockupy|10483
blockupy|demo|536
blockupy|deutschland|102
blockupy|frankfurt|2621
blockupy|geht|243
blockupy|gibt|45
blockupy|gut|8
blockupy|heute|397
blockupy|immer|108
blockupy|kommt|109
blockupy|mal|61
blockupy|mehr|24
blockupy|menschen|104
blockupy|morgen|176
blockupy|schon|325
blockupy|seit|68
blockupy|tag|76
blockupy|uhr|190
cdu|848425
cdu|csu|128454
cdu|deutschen|6334
cdu|deutschland|22776
cdu|fdp|66718
cdu|geht|21083
cdu|ger|2630
cdu|gut|12350
cdu|heute|15440
cdu|immer|24686
cdu|mal|34447
cdu|mehr|42855
cdu|menschen|13662
cdu|merkel|56058
cdu|müssen|8812
cdu|schon|33544
cdu|spd|148243
cdu|welt|13086
cdu|wer|24977
csu|247101
csu|deutschen|2291
csu|deutschland|8832
csu|fdp|29858
csu|geht|5118
csu|ger|848
csu|gut|3557
csu|heute|4358
csu|immer|7174
csu|mal|8711
csu|mehr|12429
csu|menschen|3924
csu|merkel|16479
csu|müssen|2508
csu|schon|8945
csu|spd|60110
csu|welt|6145
csu|wer|5555
demo|233025
demo|deutschland|3079
demo|frankfurt|2409
demo|geht|8111
demo|gibt|6101
demo|gut|2769
demo|heute|16190
demo|immer|4032
demo|kommt|8110
demo|mal|6679
demo|mehr|6397
demo|menschen|9678
demo|morgen|5387
demo|schon|5786
demo|seit|1677
demo|tag|2922
demo|uhr|17188
deutschen|428072
deutschen|deutschland|22828
deutschen|fdp|1173
deutschen|geht|10655
deutschen|ger|1441
deutschen|gut|7761
deutschen|heute|9018
deutschen|immer|16201
deutschen|mal|15465
deutschen|mehr|21667
deutschen|menschen|9783
deutschen|merkel|13781
deutschen|müssen|7602
deutschen|schon|16784
deutschen|spd|5993
deutschen|welt|11954
deutschen|wer|8902
deutschland|1121519
deutschland|einfach|12915
deutschland|fdp|4634
deutschland|frankfurt|1809
deutschland|geht|28607
deutschland|ger|5228
deutschland|gibt|39811
deutschland|gut|19913
deutschland|heute|20892
deutschland|immer|37609
deutschland|jung|1880
deutschland|kommt|15155
deutschland|macht|20382
deutschland|mal|35309
deutschland|mehr|64159
deutschland|menschen|37188
deutschland|merkel|45698
deutschland|morgen|5077
deutschland|müssen|16004
deutschland|schon|42012
deutschland|seit|22945
deutschland|spd|18991
deutschland|tag|8881
deutschland|uhr|2659
deutschland|warum|20762
deutschland|welt|34625
deutschland|wer|26671
deutschland|zeit|14603
einfach|747941
einfach|geht|23891
einfach|ger|608
einfach|gibt|24028
einfach|gut|17714
einfach|immer|28212
einfach|jung|827
einfach|macht|18980
einfach|mal|95834
einfach|mehr|44015
einfach|schon|30531
einfach|warum|18288
einfach|welt|8594
einfach|wer|16671
einfach|zeit|9995
fdp|220304
fdp|geht|4703
fdp|ger|553
fdp|gut|3063
fdp|heute|4331
fdp|immer|6386
fdp|mal|9591
fdp|mehr|9473
fdp|menschen|3515
fdp|merkel|4713
fdp|müssen|1943
fdp|schon|8392
fdp|spd|47299
fdp|welt|3482
fdp|wer|4592
frankfurt|91104
frankfurt|geht|1473
frankfurt|gibt|1909
frankfurt|gut|951
frankfurt|heute|4760
frankfurt|immer|1501
frankfurt|kommt|1909
frankfurt|mal|2504
frankfurt|mehr|2758
frankfurt|menschen|2146
frankfurt|morgen|1426
frankfurt|schon|2336
